partition,strategy,spread_label,spread,exit_threshold,min_entry,max_entry,e_star,n_trades,proj_60d,total_pnl,sharpe,win_rate,exit_rate,max_dd,mean_pnl_per_trade
IS,hybrid_maker,moderate,0.1,0.15,0.25,0.55,0.037,114,136.79999999999998,63.675,16.570483608673896,0.8947368421052632,0.8771929824561403,-2.25,0.5585526315789473
IS,hybrid_maker,moderate,0.1,0.15,0.25,0.55,0.05,110,132.0,60.675,16.216637240179956,0.8909090909090909,0.8727272727272727,-2.25,0.551590909090909
IS,hybrid_maker,moderate,0.1,0.15,0.25,0.65,0.02,125,150.0,65.775,17.06216524536994,0.88,0.864,-2.25,0.5262
IS,hybrid_maker,moderate,0.1,0.15,0.25,0.65,0.037,120,144.0,64.75,15.915399981660892,0.8916666666666667,0.875,-2.25,0.5395833333333333
IS,hybrid_maker,moderate,0.1,0.15,0.25,0.65,0.05,116,139.2,61.75,15.418946506918598,0.8879310344827587,0.8706896551724138,-2.25,0.5323275862068966
IS,hybrid_maker,moderate,0.1,0.15,0.35,0.55,0.02,78,93.60000000000001,40.55,12.401688498672804,0.8974358974358975,0.8846153846153846,-1.75,0.5198717948717948
IS,hybrid_maker,moderate,0.1,0.15,0.35,0.55,0.037,71,85.19999999999999,37.675,11.375802852858119,0.9014084507042254,0.8873239436619719,-1.75,0.5306338028169014
IS,hybrid_maker,moderate,0.1,0.15,0.35,0.55,0.05,67,80.4,34.675,10.71081256464448,0.8955223880597015,0.8805970149253731,-1.75,0.5175373134328358
IS,hybrid_maker,moderate,0.1,0.15,0.35,0.65,0.02,85,102.0,45.8,14.405575579619248,0.9058823529411765,0.8941176470588236,-1.75,0.5388235294117647
IS,hybrid_maker,moderate,0.1,0.15,0.35,0.65,0.037,78,93.60000000000001,39.5,11.321222936217765,0.8974358974358975,0.8846153846153846,-1.9250000000000007,0.5064102564102564
IS,hybrid_maker,moderate,0.1,0.15,0.35,0.65,0.05,75,90.0,37.25,10.927655915439802,0.8933333333333333,0.88,-1.9250000000000007,0.49666666666666665
IS,hybrid_maker,moderate,0.1,0.18,0.15,0.55,0.02,190,228.0,88.25,16.034367133438515,0.7421052631578947,0.7263157894736842,-1.7000000000000028,0.4644736842105263
IS,hybrid_maker,moderate,0.1,0.18,0.15,0.55,0.037,181,217.20000000000002,85.6,14.848453742739265,0.7458563535911602,0.7292817679558011,-1.8999999999999986,0.4729281767955801
IS,hybrid_maker,moderate,0.1,0.18,0.15,0.55,0.05,174,208.8,80.97499999999998,14.48136173423774,0.7413793103448276,0.7241379310344828,-1.8999999999999986,0.4653735632183908
IS,hybrid_maker,moderate,0.1,0.18,0.15,0.65,0.02,192,230.39999999999998,86.425,14.819241075480038,0.7395833333333334,0.7239583333333334,-2.3499999999999996,0.4501302083333334
IS,hybrid_maker,moderate,0.1,0.18,0.15,0.65,0.037,184,220.8,81.1,12.979884034599916,0.7391304347826086,0.7228260869565217,-2.3499999999999996,0.4407608695652174
